date,headline,close_t_plus_2
2020-04-06,"3M, Trump Strike Deal To Import 166.5M Masks From China, Company To Continue To Supply Abroad [SEP] Investor Movement Index Summary: March 2020 [SEP] Apple's iPhone 9 Launch Could Be Imminent [SEP] Apple Rumored To Be Eyeing $100M Acquisition Of AR, VR Company NextVR [SEP] Apple shares are trading higher potentially due to the company announcing it would produce 1 million face shields per week for healthcare workers.",266.07000732421875
2020-04-07,"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity. [SEP] Microsoft Hires ex-Apple Exec Caballero in Charge of Wireless for Hardware",267.989990234375
2020-04-08,"Disney Shares Climb 7% As Video On Demand Service Crosses 50M Subscribers [SEP] Netflix, YouTube, Disney+: Which Video Streaming Platform Do Teens Watch The Most? [SEP] The Show Must Go On – Event Industry Rising To The Challenge Of COVID-19 [SEP] Global Payments Firm Papaya Global Publishes International COVID-19 Crisis Guides For Employers [SEP] Watching Apple Shares; Hearing Traders Circulating Word Of Earlier Article From China Publication Suggesting Apple Cut Orders From China Suppliers [SEP] Shares of several technology companies are trading higher amid overall market strength on optimism that US coronavirus cases could soon leveling off. NOTE: Some names in the sector have potentially benefited from recent work-at-home trends. [SEP] 10 Biggest Price Target Changes For Wednesday [SEP] JP Morgan Maintains Overweight on Apple, Lowers Price Target to $335 [SEP] Hearing Piper Sandler Raised Apple Price Target From $260 To $300; Unconfirmed [SEP] iPhone Maker Foxconn To Produce Ventilators In US",273.25
2020-04-09,"Communications Services Sector Earnings: When Staying In Becomes The Trend [SEP] Will FANG Lead The Market Rebound? [SEP] Apple At A 'Fork In The Road' As Disney+ Reports 50M Subscribers [SEP] Nomura Maintains Neutral on Apple, Raises Price Target to $240 [SEP] 2 Companies Well Positioned To Weather The Coronavirus Storm",287.04998779296875
2020-04-13,"IDC Issues PC Report For Q1, Shows 'Sharp Decline in Q1 2020 Despite Increased Demand to Meet Remote Work and School Needs' [SEP] Commentary: Why Supply Chains Are Weaker Than Their Weakest Link [SEP] Apple Reportedly Planning Major iPhone Design Overhaul For Fall Launches [SEP] Raymond James Maintains Outperform on Apple, Lowers Price Target to $305 [SEP] Apple And Google Team Up To Build Bluetooth Solution To Tackle COVID-19 Pandemic [SEP] Bloomberg Reports iPhone 12 to Feature Redesigned Stainless Steel Chasis, Cheaper Homepod to be Out Later This Year",284.42999267578125
2020-04-14,"Apple Makes Available Its Mobility Data To Aid In Coronavirus Efforts, Says Trends Tool From Apple Maps Can Help Mitigate Spread Of Virus [SEP] Apple shares are trading higher after it was reported the company shipped 2.5 million iPhones in China in March. [SEP] JPMorgan, Wells Fargo Earnings Lower Than Expected, But Positive Tone Helps Shares [SEP] Apple And Google Give Details On Their Joint Coronavirus Contact Tracing Tool [SEP] Apple Shipped 2.5M iPhones in China in March",286.69000244140625
2020-04-15,"Software Rises Above Semiconductors And Hardware As Tech Heads Into Earnings Season [SEP] US Senator Blumenthal Says Apple, Google Have A 'Lot Of Work To Do' To Convince People Coronavirus Contact Tracing Will Not Violate Privacy [SEP] Apple Ready To Launch 'iPhone 9'; Analyst Says Initial Sales Could Reach 25M Units [SEP] Every Member Of Trump's 'Great American Economic Revival' Industry Groups [SEP] BioXcel Therapeutics CEO Says Wearable Devices Are Another Tool To Combat Alzheimer's Agitation [SEP] Apple Shares Unaffected Following Co. Press Release Highlighting Second-Generation iPhone SE, Starting At $399",282.79998779296875
2020-04-16,"Big Stocks Moving After Hours As Market Cheers Gilead, 'Reopening' Updates [SEP] S&P 500 Futures Up 3.2% After Hours; Many Other Stocks Moving Higher With Futures; Investors Reacting Favorably To White Phase Guidelines On Reopening Economy [SEP] Apple's Tim Cook Tells Staff Mgmt. Is Unclear When Employees Will Be Able To Return To Offices, Says Offices Will Likely Have Temperature Checks, Social Distancing Efforts [SEP] Comcast's Peacock Takes Well-Timed Flight [SEP] Apple shares are trading higher after Deutsche Bank maintained its Buy rating on the stock and raised its price target from $270 to $285 per share. [SEP] Deutsche Bank Maintains Buy on Apple, Raises Price Target to $285 [SEP] Morgan Stanley Misses On EPS, But Shows Strong Trading Results For Q1 As Banks Wrap Up [SEP] 'Apple's only retail store in South Korea reopening April 18' -9to5Mac",276.92999267578125
2020-04-17,"Gene Munster Dismisses Goldman's Apple Downgrade, Says Cupertino Has Long-Term Earnings Power [SEP] Goldman Turns Bearish On Apple, Qualcomm, Projects 36% Drop In Q2 iPhone Sales [SEP] Big Earnings Day As Honeywell, Procter & Gamble, Schlumberger Among Those Reporting [SEP] 'Apple supplier Foxconn steps up semiconductor plans with deal to build a new base in Qingdao' -South China Morning Post [SEP] Benzinga's Top Upgrades, Downgrades For April 17, 2020 [SEP] UPDATE: Goldman Sachs Downgrades Apple To Sell, Lowers Target To $233 'as COVID-19 downturn drives reduced 2021 forecasts' [SEP] 10 Biggest Price Target Changes For Friday [SEP] A Peek Into The Markets: US Stock Futures Signal Higher Start On Wall Street [SEP] Goldman Sachs Downgrades Apple to Sell, Lowers Price Target to $233 [SEP] Apple Reopening Store In Seoul, First Outside China",268.3699951171875
2020-04-20,"Jerremy Newsome Shares The Rules For His Options Strategy [SEP] Coronavirus Sell-Off A Major Opportunity For Activist Investors [SEP] Halliburton, United, Among Key Names Reporting Results, With More Airlines Due Later In Week",276.1000061035156
2020-04-21,How Stable Are Their Networks? AT&T And Verizon Set To Release Q1 Earnings [SEP] Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic. [SEP] Tuesday's Market Minute: The Streaming Comeback Kid: Netflix [SEP] Apple Shares Spike 1.5% Amid Nikkei Report Co. Aiming To Increase iPhone Output By 4% Through Mar. [SEP] Apple Likely to Defer New Airpods Pro Launch [SEP] Apple Services Now Available in More Countries Around the World,275.02999877929693
2020-04-22,"Another Autonomous Trucking Startup Announces Layoffs [SEP] These Companies Could Rebound Sharply After The COVID-19 Crisis [SEP] Little Things Count: After Selloff To Start Week, A Bit of Light Arrives With Positive Earnings [SEP] Gene Munster Sees Apple And Tesla As Biggest Winners This Earnings Season",282.9700012207031
2020-04-23,"Apple Analyst Braces For 'Friday The 13th'-Like Q2, Says iPhone On Track [SEP] Apple Reportedly Shifting Away From Intel, Will Make Its Own Mac Chips [SEP] Intel Shares Unaffected Following NY Post Article 'Apple to reportedly use its own chips for Macs instead of Intel's next year' [SEP] 10 Biggest Price Target Changes For Thursday [SEP] Daiwa Capital Downgrades Apple to Outperform, Lowers Price Target to $297 [SEP] Apple Acknowledges Security Flaw in iPhone, iPads That Hackers May Have Used To Steal Data For Years",283.1700134277344
2020-04-24,"Nvidia Reportedly Eyeing 5nm Chips Even As Apple, AMD Ramp Up Orders [SEP] Apple Shares Unaffected As Hearing Trump Says He Spoke With Tim Cook, Trump Says Cook Believes Economy Will See V-Shaped Recovery [SEP] 10 Biggest Price Target Changes For Friday [SEP] Hearing Credit Suisse Asia Sees Apple Cutting iPhone Jul. To Sept. Production By 30% Given A Delay In Production Ramp For 2020 Models [SEP] Apple Says No Evidence That Hackers Exploited Vulnerability In iPhones, iPads To Steal Data [SEP] Apple Says No Evidence iPhone Mail Flaw Used Against Customers",278.5799865722656
2020-04-27,"How Large Apple Option Traders Are Positioning Ahead Of Earnings [SEP] 3 Sector ETFs For This Week's Earnings Parade [SEP] Raymond James Says 'We lowered our iPhone estimates 2 weeks ago to take into account the likelihood of slower sales, and we don't see a reason to change our estimates at this time' [SEP] Raymond James On Reports Of Apple iPhone Delays Says 'Apple suppliers we spoke with hadn't seen changes yet'; Says 'Our conclusion is that AAPL is likely selectively notifying suppliers.' [SEP] Will COVID-19 Accelerate The Adoption Of Autonomous Vehicles? [SEP] UPDATE: B of A Securities On Apple Notes 'Although AAPL could choose to not provide any guidance,we think AAPL could also provide a much wider than normal range to encapsulate the uncertainty of COVID-19' [SEP] UPDATE: B of A Securities Reiterates Buy On Apple, Raises Target To $310 Notes 'To guide or not guide; that is the question'; Firm Expects 'AAPL to report F2Q well below consensus (not fully adjusted) and to guide well below consensus as well' [SEP] SpotlightNews Informs Communities, Extends Helping Hand To Small Publishers [SEP] B of A Securities Earlier Reiterated Buy on Apple, Raised Price Target to $310 [SEP] Morning Market Stats in 5 Minutes [SEP] Apple And Amazon Earnings, Fed Meeting Among Highlights In Busy Week Ahead [SEP] UPDATE: Apple Cut Number Of Flagship iPhone Units Being Produced Over Jul. To Dec. Period By As Much As 20% [SEP] Apple Shares Down 0.9% Since Earlier Dow Jones Report Co. Has Delayed Its Production Ramp Up For Flagship iPhones By About 1 Month [SEP] Apple Is Pushing Back New iPhone Production, WSJ Reports [SEP] Carter Worth And Mike Khouw's Apple Trade [SEP] Global Smartphone Shipments to Fall to 1.15B Units in 2020",287.7300109863281
2020-04-28,"Apple Earnings Ahead: Rough Quarter, iPhone Expectations And Getting Back To Business [SEP] Earnings Feast: Bring a Plate With Healthcare and Caterpillar in Morning, GOOGL And AMD Later",293.79998779296875
2020-04-29,"Shares of several technology companies are trading higher amid market strength following positive data from a study of Gilead's Remdesivir, which is being evaluated for coronavirus. A successful treatment could mean a sooner return to economic activity. NOTE: Some names may also be moving in sympathy following recent earnings from Google and some semiconductor companies. [SEP] Alphabet, Boeing Shares Get A Lift Following Earnings, While GE Falls Short [SEP] AT&T Is Hoping HBO Max Will Turn The Tide [SEP] Apple Adds Coronavirus Testing Sites To Maps In US",289.07000732421875
2020-04-30,"TikTok Considers Launching Reality TV Show [SEP] Apple CEO Tim Cook: Store Traffic Not Back To Pre-COVID-19 Levels In China [SEP] Apple CFO Says Advertising Also To Be Affected By June Quarter [SEP] Apple CFO Says Apple Care And Advertising Will Be Affected In June Quarter [SEP] Apple CFO Expects Digital Services To Continue To Grow At Same Level Of Performance Seen In Mar., Qtr.; Says Expects Apple Care To Be Impacted During Jun. Qtr. [SEP] Apple CEO Tim Cook Says Austria, Australia Apple Stores To Reopen In 1 To 2 Weeks [SEP] Apple CEO, On TV+, Says Have Seen A Significant Uptick In Number Of People Who Are Viewing The Content As Well As The Engagement With Content [SEP] Apple CEO Tim Cook Sees Remote Work Sector Accelerating [SEP] Apple CEO: Our Products Are Even More Important In 'These Times' [SEP] Apple CFO: The Core Of The Company Is Innovation, Will Continue To Invest In Product Pipeline [SEP] Apple CFO Says Due To Reduced Level Of Economic Activity, Services Like Apple Care And Advertising Have Been Impacted [SEP] Apple CFO Says Expects YoY Revenue Performance To Improve In Jun. Qtr [SEP] Apple CFO Says Liquidity Has Not Been Issue [SEP] Apple CEO Tim Cook: We Will Not Be Issuing Guidance For The Following Quarter [SEP] Apple CEO Tim Cook: We Envision iPad And Mac To Have Improving Year-Over-Year Performances In This Current Quarter [SEP] Apple CEO Tim Cook: Apple To Work With Google To Improve COVID-19 Contact Tracing [SEP] Apple CEO Tim Cook: Apple News Had 125M Users [SEP] Apple CEO Tim Cook: We Are Sourcing More Than 30M Masks For Employees Around The World [SEP] 12 Stocks Moving In Thursday's After-Hours Session [SEP] Apple Reports Big Q2 Earnings Beat, Driven By Record Services Revenue [SEP] Apple shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. UPDATE: Shares have since reversed. [SEP] Apple CEO Tim Cook ""We are confident in our future and continue to make significant investments in all areas of our business to enrich our customers' lives ... including our five-year commitment to contribute $350 billion to the United States Economy"" [SEP] Apple Shares Trading Higher 2.3% Following Q2 Earnings [SEP] Apple Q2 iPhone Sales $28.962B, Mac Sales $5.351B, iPad $4.368B, Wearables, Home, Accessories $6.284B [SEP] Apple Q2 Americas Sales $25.473B, Europe $14.294B, Greater China $9.455B, Japan $5.206B, Rest Of Asia Pacific $3.885B [SEP] Apple Reports Q2 Service Revenue $13.348B, Up From $11.45B YoY [SEP] Apple CEO Tim Cook ""Despite COVID-19's unprecedented global impact, we're proud to report that Apple grew for the quarter, driven by an all-time record in Services and a quarterly record for Wearables"" [SEP] Apple Q2 EPS $2.550 Beats $2.260 Estimate, Sales $58.300B Beat $54.540B Estimate [SEP] Watching Apple Shares Decline At Least 1% Head Of Earnings, Expected At 4:30 [SEP] Morning Market Stats in 5 Minutes [SEP] Apple And Amazon Up To Bat this Afternoon As Investors Ponder Microsoft, Facebook Results [SEP] Mike Khouw Sees Unusual Options Activity In Apple [SEP] Benzinga Pro's Top 5 Stocks To Watch For Thurs., Apr. 30, 2020: AAPL, LVS, MRNA, IMKTA, CAPR [SEP] A Peek Into The Markets: US Stock Futures Edge Higher Ahead Of Apple Earnings [SEP] 10 Stocks To Watch For April 30, 2020 [SEP] Earnings Scheduled For April 30, 2020",293.1600036621094
2020-05-01,"Amazon, Exxon Mobil Earnings Weigh On Market To Start New Month As Caution Steers The Wheel [SEP] VirnetX Shares Dip; Hearing Judge Has Ordered Retrial Regarding Damages In VirnetX vs Apple VPN On Demand Lawsuit [SEP] Apple Shows Signs Of Recovery From Coronavirus, Doesn't Shake Bulls With Lack Of Guidance [SEP] UPDATE: Raymond James On Apple Notes 'and those who don't buy a phone this year will have a strong incentive to buy one next year, particularly with more complete 5G networks and our belief of a stronger 2021 iPhone feature set' [SEP] UPDATE: Raymond James Maintains Outperform On Apple, Raises Target To $340 Notes 'our optimism for the stock is about 2021. We think upgrades to 5G are inevitable' [SEP] UPDATE: Morgan Stanley On Apple Notes 'With increased confidence in the 5G iPhone launch and stretched iPhone replacement cycles, Apple remains top pick' [SEP] UPDATE: Morgan Stanley Maintains Overweight On Apple, Raises Tgt To $326 Notes 'While Apple pulled guidance, qualitative commentary leads us to raise our F3Q revenue estimate as demand improved in 2H of April and more stores will open before quarter-end' [SEP] UPDATE: Cascend Reiterates Buy On Apple, Lowers Target To $325 Notes 'not providing guidance is worrying even as the company performs solidly in a difficult environment [SEP] DA Davidson Maintains Buy on Apple, Lowers Price Target to $355 [SEP] Canaccord Genuity Maintains Buy on Apple, Raises Price Target to $310 [SEP] Nomura Instinet Maintains Neutral on Apple, Raises Price Target to $250 [SEP] Disappointment From Amazon, Apple Weighs On Market As Investors Also Consider Energy Earnings [SEP] Apple shares are trading lower after the company reported revenue growth, which remained flat year over year. [SEP] UBS Maintains Buy on Apple, Raises Price Target to $325 [SEP] 10 Biggest Price Target Changes For Friday [SEP] B of A Securities Reiterates Buy on Apple, Raises Price Target to $320 [SEP] Raymond James Maintains Outperform on Apple, Raises Price Target to $340 [SEP] Morgan Stanley Maintains Overweight on Apple, Raises Price Target to $326 [SEP] 32 Stocks Moving in Friday's Pre-Market Session [SEP] JP Morgan Maintains Overweight on Apple, Raises Price Target to $350 [SEP] Piper Sandler Maintains Overweight on Apple, Raises Price Target to $310 [SEP] Cascend Maintains Buy on Apple, Lowers Price Target to $325 [SEP] Hearing JP Morgan Added Apple Shares To Its Bullish 'Focus List' [SEP] A Peek Into The Markets: US Stock Futures Point To A Lower Open [SEP] Apple, Huawei Each Captured a Higher Share of China's Smartphone Market in Q1, Says Canalys [SEP] 8 Stocks To Watch For May 1, 2020 [SEP] Apple Increased Smartphone Market Share In China In Q1 During Pandemic: Report [SEP] Apple Has 'Better Days Ahead,' Analysts Say After Q1 Earnings Beat",297.5599975585937
